,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
8,197001020003,1970,1,2,,0,,217,United States,1,North America,Wisconsin,Madison,43.076592,-89.412488,1.0,0,,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,28.0,Military Recruiting Station/Academy,R.O.T.C.,"R.O.T.C. offices at University of Wisconsin, Madison",217.0,United States,,,,,,,,,,,,,,,,,New Year's Gang,,,,,,To protest the War in Vietnam and the draft,0.0,,,0,1.0,1.0,1.0,1.0,Letter,,,,,,,,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb consisting of gasoline,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),60000.0,"Basketball courts, weight room, swimming pool, gymnastic equipment, and lockers were destroyed.",0.0,,,,,,,0.0,,,,,,,,,"The New Years Gang issue a communiqué to a local paper claiming that they perpetrated this attack.  The New Years Gang  previously attempted to firebomb the R.O.T.C. building a week earlier.  As a result of the attack, police increased their presence in Madison.  Karl Armstrong's girlfriend, Lynn Schultz, drove him to and from the Old Red Gym.  The next day Armstrong would attempt to set a fire in the Selective Service offices in Madison. (197001030001)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970.  (197008240001)","Tom Bates, ""Rads: The 1970 Bombing of the Army Math Research Center at the University of Wisconsin and Its Aftermath,"" HarperCollinsPublishing, 1992.","David Newman, Sandra Sutherland, and Jon Stewart, ""The Madison Bomb Story: The Death the FBI Saw, Heard and Won't Talk About,"" Mother Jones, February-March, 1979.","The Wisconsin Cartographers' Guild, ""Wisconsin's Past and Present: A Historical Atlas,"" The University of Wisconsin Press, 2002.",Hewitt Project,0,0,0,0,
9,197001030001,1970,1,3,,0,,217,United States,1,North America,Wisconsin,Madison,43.07295,-89.386694,1.0,0,,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21.0,Government Building/Facility/Office,Selective Service,Selective Service Headquarters in Madison Wisconsin,217.0,United States,,,,,,,,,,,,,,,,,New Year's Gang,,,,,,To protest the War in Vietnam and the draft,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,,,,,Poured gasoline on the floor and lit it with a match,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,Slight damage,0.0,,,,,,,0.0,,,,,,,,,"Karl Armstrong's girlfriend, Lynn Schultz, drove him to and from the Primate Lab.  A day earlier Armstrong would firebomb the R.O.T.C. offices at the University of Wisconsin. (197001020003)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970. (197008240001)","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Tom Bates, ""Rads: The 1970 Bombing of the Army Math Research Center at the University of Wisconsin and Its Aftermath,"" HarperCollinsPublishing, 1992.","David Newman, Sandra Sutherland, and Jon Stewart, ""The Madison Bomb Story: The Death the FBI Saw, Heard and Won't Talk About,"" Mother Jones, February-March, 1979.",Hewitt Project,0,0,0,0,
41,197002010001,1970,2,1,,0,,217,United States,1,North America,Oregon,Portland,45.511795,-122.675629,1.0,0,North Portland neighborhood,"2/1/1970: An unknown perpetrator broke into the Northeast Oregon building in Portland, Oregon, United States, which housed a Selective Service office and set fire to draft records.  About two hundred and fifty files were destroyed causing $4,189 in damage.",1,1,1,1,2.0,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21.0,Government Building/Facility/Office,Selective Service,Selective Service office Local Board No. 28 in Portland Oregon,217.0,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,Protest and sabotage the draft,0.0,,,0,1.0,-99.0,0.0,,,,,,,,,,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,,,,,Fire started with gasoline,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),4189.0,Approximately two hundred and fifty draft records destroyed,0.0,,,,,,,0.0,,,,,,,,,"It is suspected that the perpetrator was attempting to look for his own draft file.  This incident did not disrupt this particular Selective Service office since there was a duplicate of all of the records on microfilm.  In a sixth month period, the Oregon Selective Service Headquarters was firebombed three other times (197005060006, 197006030001, and 197008100001).","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Arsonist 'Failed,'"" Eugene Register-Guard, February 4th, 1970.",,Hewitt Project,-9,-9,0,-9,
57,197002090003,1970,2,9,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1.0,0,Manhattan,"2/9/1970: In a series of related events, a member of the Armed Revolutionary Independence Movement (MIRA) was suspected of placing a bomb at the General Electric Headquarters in Manhattan, New York, United States.   The bomb was discovered and subsequently removed.",1,1,1,0,,,1,0,0,3,Bombing/Explosion,,,,,1,Business,4.0,Multinational Corporation,General Electric,General Electric Headquarters,217.0,United States,,,,,,,,,,,,,,,,,Armed Revolutionary Independence Movement (MIRA),,,,,,To fight imperialism and exploitation.,0.0,,,0,1.0,1.0,1.0,1.0,Letter,,,,,,,,6,Explosives,31.0,Pipe Bomb,,,,,,,,,,,,,Pipe bomb in a paper bag,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"Part of a multiple attack with 197002080001 and 197002080002.  MIRA claimed this attack along with 2197002060005, in the same mimeographed sheet sent to the news media.  This was one of many attacks against General Electric targets throughout the United States in a three day period. (197002070001, 197002070002, and 197002090004) These incidents are not believed to be related.","""2 Bombs Explode at G.E. Buildings,"" New York Times, February 9, 1970.","""Puerto Rican Group Describes Bombings,"" New York Times, February 13, 1970.","""Bomb Case Figure Found Guilty Here,"" New York Times, September 19, 1973.",Hewitt Project,0,1,0,1,"197002080001, 197002080002, 197002090003"
69,197002160004,1970,2,16,,0,,217,United States,1,North America,California,San Francisco,37.755363,-122.443352,1.0,0,The incident occurred at the Hall of Justice.,"2/16/1970: Four hours after a San Francisco Police Station was bombed in California, United States, a sniper took aim at three police officers.  However, police fired at the sniper before he could get a shot off.  The sniper and a companion fled the scene before being apprehended.",1,1,1,0,,,1,0,0,2,Armed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,San Francisco Police Department,San Francisco Police Officers,217.0,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,To intimidate the police.,0.0,,,0,1.0,-99.0,0.0,,,,,,,,,,5,Firearms,4.0,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Telescope-sighted rifle,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,This attack is linked with 197002160001.  The sniper and his companion were described as hippie types.,"""San Francisco Bomb Injured 7 Policemen,"" Washington Post, February 18, 1970.",,,Hewitt Project,-9,-9,0,-9,"197002160001, 197002160004"
86,197002220002,1970,2,22,,0,,217,United States,1,North America,Wisconsin,Prairie du Sac,43.287052,-89.724361,1.0,0,,"2/22/1970: Karl Armstrong, a member of the New Years Gang, attempted to bomb the Wisconsin Power and Light substation in Prairie du Sac, Wisconsin, United States.  Carrying thirteen sticks of dynamite he broke into the substation, but fled the scene when a night security guard arrived unexpectedly.  The substation supplied power to the Badger Ammunition Plant.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,21,Utilities,107.0,Electricity,Wisconsin Power and Light Company,"Wisconsin Power and Light Company substation, Prairie du Sac",217.0,United States,,,,,,,,,,,,,,,,,New Year's Gang,,,,,,To sabotage the Badger Ammunition Plant,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,28.0,Dynamite/TNT,,,,,,,,,,,,,Thirteen sticks of dynamite attached to a battery operated device,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"The New Years Gang attempted to bomb the Wisconsin Ammunition Plant weeks earlier. (197001050001)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970.  (197008240001)","Tom Bates, ""Rads: The 1970 Bombing of the Army Math Research Center at the University of Wisconsin and Its Aftermath,"" HarperCollinsPublishing, 1992.","David Newman, Sandra Sutherland, and Jon Stewart, ""The Madison Bomb Story: The Death the FBI Saw, Heard and Won't Talk About,"" Mother Jones, February-March, 1979.","The Wisconsin Cartographers' Guild, ""Wisconsin's Past and Present: A Historical Atlas,"" The University of Wisconsin Press, 2002.",Hewitt Project,0,0,0,0,
121,197003100002,1970,3,10,,0,,217,United States,1,North America,Maryland,Cambridge,38.563122,-76.078063,1.0,0,Ladies room,"3/10/1970: An unidentified White middle-aged female was suspected of bombing the Dorchester County Courthouse in Cambridge, Maryland, United States where the trial for radical Black leader H. Rap Brown was originally scheduled to be held.  There were no casualties but the building sustained extensive damages.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),14.0,Judge/Attorney/Court,,Dorchester County Courthouse,217.0,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,To disrupt the trial of H. Rap Brown,1.0,,,0,1.0,-99.0,0.0,,,,,,,,,,6,Explosives,14.0,Time Fuse,,,,,,,,,,,,,Time bomb,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,Thirty foot hole blown into a brick wall at the corner of the courthouse,0.0,,,,,,,0.0,,,,,,,,,"Police were unsure if the perpetrator acted out in support or defiance of H. Rap Brown.  This attack is linked with 197003090006.  H. Rap Brown was charged with arson and inciting a riot.  However, he never showed up for his trial and was finally apprehended in 1972.  The bombings occurred at a time of a lot of racial tension in Maryland.   Immediately after the bombing, there were numerous bomb threats to public buildings in the Baltimore and Washington DC areas.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Homer Bigart, ""Maryland Hunts Woman In Blast,"" New York Times, March 12, 1970.","Peter A. Jay, ""Bomb Threats in Area,"" Washington Post, March 13, 1970.",Hewitt Project,-9,-9,0,-9,
146,197003220001,1970,3,22,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1.0,0,The Bronx,"3/22/1970: In a series of related attacks, a member of the Black Panther Party detonated a pipe bomb at the brokerage firm Nagler, Weissman & Co. in the Bronx, New York, United States.  There were no casualties but the door and windows of the building were damaged.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,1,Business,3.0,Bank/Commerce,Stock Brokerage,"Nagler, Weissman & Company",217.0,United States,,,,,,,,,,,,,,,,,Black Panthers,,,,,,Revolutionary movement against the financial establishment,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,14.0,Time Fuse,,,,,,,,,,,,,Pipe bomb with timer,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,Door and windows of building damaged.  Windows of adjacent buildings also damaged.,0.0,,,,,,,0.0,,,,,,,,,"Part of a multiple attack with 197003220002 and 197003220003.  Police believed that 197003220001 and 197003220002 were carried out by Godwin Bernard, a member of the Black Panther Party.  He was injured when a bomb accidentally blew up in his apartment in what the police determined was a bomb factory.  Police accused his roommate Ishmael Brown, who died in the apartment blast, to be the perpetrator of 197003220003.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Michael Knight, ""15 at the Electric Circus Injured in Bomb Explosion,"" New York Times, March 23, 1970.","Lawrence Van Gelder, ""Injured Bombing Suspect Is Arraigned in Hospital,"" New York Times, August 12, 1970.",Hewitt Project,0,0,0,0,"197003220001, 197003220002, 197003220003"
147,197003220002,1970,3,22,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1.0,0,The Bronx,"3/22/1970: In a series of related attacks, a member of the Black Panther Party placed a pipe bomb on the window ledge of Chase-Manhattan Bank in the Bronx, New York, United States.  Police discovered and disarmed the time bomb.",1,1,1,0,,,1,0,0,3,Bombing/Explosion,,,,,1,Business,3.0,Bank/Commerce,Chase-Manhattan Bank,"Chase-Manhattan Bank, Bronx branch",217.0,United States,,,,,,,,,,,,,,,,,Black Panthers,,,,,,Revolutionary movement against the financial establishment,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,14.0,Time Fuse,,,,,,,,,,,,,Pipe bomb with timer,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"Part of a multiple attack with 197003220001 and 197003220003.  Police believed that 197003220001 and 197003220002 were carried out by Godwin Bernard, a member of the Black Panther Party.  He was injured when a bomb accidentally blew up in his apartment in what the police determined was a bomb factory.  Police accused his roommate Ishmael Brown, who died in the apartment blast, to be the perpetrator of 197003220003.  There was a pipe bomb placed in the same bank two weeks later (197004020002).","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Michael Knight, ""15 at the Electric Circus Injured in Bomb Explosion,"" New York Times, March 23, 1970.","Lawrence Van Gelder, ""Injured Bombing Suspect Is Arraigned in Hospital,"" New York Times, August 12, 1970.",Hewitt Project,0,0,0,0,"197003220001, 197003220002, 197003220003"
148,197003220003,1970,3,22,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1.0,0,Manhattan,"3/22/1970: In a series of related attacks, a suspected member of the Black Panther Party detonated a pipe bomb at the Electric Circus Discotheque in Manhattan New York, United States.  Seventeen people were injured and the building sustained minor damages.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,1,Business,11.0,Entertainment/Cultural/Stadium/Casino,Discotheque,Electric  Circus,217.0,United States,,,,,,,,,,,,,,,,,Black Panthers,,,,,,,1.0,,,0,1.0,0.0,0.0,,,,,,,,,,6,Explosives,28.0,Dynamite/TNT,,,,,,,,,,,,,Pipe bomb made of dynamite and small caliber ammunition with a clock detonator,0.0,0.0,0.0,17.0,17.0,0.0,1,3.0,Minor (likely < $1 million),,Portable stage destroyed,0.0,,,,,,,0.0,,,,,,,,,"Part of a multiple attack with 197003220001 and 197003220002.  Originally the police believed that the attack was part of a dispute between Hells Angels, but eventually police accused Ishmael Brown, a member of the Black Panther Party, of being the perpetrator.   The Black Panther Party denied any involvement in the incident.  Brown was killed when a bomb accidentally blew up in his apartment in what the police determined was a bomb factory.  Police accused his roommate Godwin Bernard, who was injured in the apartment blast, of being the perpetrator in 197003220001 and 197003220002","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Michael Knight, ""15 at the Electric Circus Injured in Bomb Explosion,"" New York Times, March 23, 1970.","Lawrence Van Gelder, ""Injured Bombing Suspect Is Arraigned in Hospital,"" New York Times, August 12, 1970.",Hewitt Project,0,0,0,0,"197003220001, 197003220002, 197003220003"
